SU,Class,Count,Weight
2625,Bone,,0.002
2626,Bone,,0.023
2629,Bone,,0.0149
2631,Bone,,0.153
2633,Bone,,0.07
2634,Bone,,0.068
2641,Bone,,0.021
2643,Bone,,0.1
2645,Bone,,0.131
2646,Bone,,0.006
2646,Bone,,0.415
2648,Bone,7,0.029
2649,Bone,1,0.004
2652,Bone,4,0.003
2654,Bone,12,0.025
2658,Bone,3,0.004
2660,Bone,,0.016
2662,Bone,,0.003
2663,Bone,,0.022
2664,Bone,,0.011
2667,Bone,,0.004
2668,Bone,,0.038
2669,Bone,,0.016
2670,Bone,,0.209
2674,Bone,,0.032
2675,Bone,,0.019
2676,Bone,,0.055
2677,Bone,,0.002
2681,Bone,,0.022
2682,Bone,,0.003
2683,Bone,,0.075
2685,Bone,,0.006
2686,Bone,,0.006
2687,Bone,,0.004
2688,Bone,,0.004
2689,Bone,,0.05
2692,Bone,,0.19
2694,Bone,,0.004
2696,Bone,,0.032
2697,Bone,,0.4
2699,Bone,,0.033
2703,Bone,,0.014
2704,Bone,,0.003
2706,Bone,,0.008
2709,Bone,,0.012
2710,Bone,,0.008
2711,Bone,,0.02
2712,Bone,,0.04
2715,Bone,,0.019
2719,Bone,,0.02
2720,Bone,,0.018
2721,Bone,,0.017
2722,Bone,,0.003
2723,Bone,,0.033
2724,Bone,,0.06
2728,Bone,,0.064
2731,Bone,,0.282
2732,Bone,,0.026
2734,Bone,,0.007
2736,Bone,,0.002
2738,Bone,,0.004
2739,Bone,,0.142
2740,Bone,,0.076
2742,Bone,,0.044
2744,Bone,,0.066
2746,Bone,,0.003
2748,Bone,,0.303
2748,Bone,,0.008
2749,Bone,,0.008
2750,Bone,,0.014
2753,Bone,,0.012
2753,Bone,,0.012
2753,Bone,,0.012
2753,Bone,,0.012
2753,Bone,,0.012
2753,Bone,,0.012
2753,Bone,,0.012
2754,Bone,,0.067
2758,Bone,,0.04
2762,Bone,,0.006
2763,Bone,,0.006
2763,Bone,,0.006
2763,Bone,,0.006
2763,Bone,,0.006
2763,Bone,,0.006
2763,Bone,,0.006
2763,Bone,,0.006
2765,Bone,,0.238
2767,Bone,,0.002
2768,Bone,,0.026
2769,Bone,,0.016
2772,Bone,,0.054
2773,Bone,,0.002
2775,Bone,,0.021
2777,Bone,,0.006
2780,Bone,,0.002
2782,Bone,,0.026
2784,Bone,,0.012
2787,Bone,,0.01
2788,Bone,,0.006
2793,Bone,,0.003
2794,Bone,,0.005
2795,Bone,,0.018
2796,Bone,,0.034
2802,Bone,,0.002
2803,Bone,,0.071
2817,Bone,,0.495
2818,Bone,,0.002
2819,Bone,,0.058
2820,Bone,,0.016
2821,Bone,,0.01
2825,Bone,,0.002
2826,Bone,,0.087
2827,Bone,,0.007
2828,Bone,,0.041
2829,Bone,,0.015
2834,Bone,,0.039
2835,Bone,,0.005
2836,Bone,,0.02
2837,Bone,,0.02
2838,Bone,,0.046
2839,Bone,,0.007
2840,Bone,,0.156
2841,Bone,,0.001
2842,Bone,,0.004
2845,Bone,,0.04
2846,Bone,,0.025
2847,Bone,,0.004
2848,Bone,,0.006
2849,Bone,,0.021
2850,Bone,,0.015
2852,Bone,,0.058
2857,Bone,,0.022
2858,Bone,,0.16
2860,Bone,,0.068
2861,Bone,,0.016
2867,Bone,,0.006
2869,Bone,,0.007
2870,Bone,,0.031
2872,Bone,,0.022
