SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_END
2271,Commonware,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,-700,-700
2273,Commonware,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,-700,-700
3012,Commonware,NULL,NULL,6,NULL,NULL,13,19,NULL,NULL,NULL,-700,-700
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-700,-700
3727,Buccheroid Impasto,NULL,NULL,7,NULL,NULL,14,20,0.152,2,5,-650,-700
2271,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,-500,-700
3311,Impasto,NULL,NULL,3,5,2,43,53,0.458,3,15,-730,-680
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-725,-675
2657,Italo Geometric,NULL,NULL,NULL,1,NULL,NULL,1,0.002,2,2,-700,-675
3311,Impasto,NULL,NULL,3,5,2,43,53,0.458,3,15,-770,-650
3282,Impasto,NULL,NULL,3,NULL,NULL,10,13,0.262,2,10,-750,-650
3281,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,0.062,3,6,-730,-650
2731,Italo Geometric,Many pieces of the same vessel,NULL,4,NULL,NULL,5,9,0.024,2,6,-715,-650
3318,White On Red,NULL,NULL,NULL,NULL,NULL,3,3,0.178,4,7,-700,-650
321,Italo Geometric,NULL,NULL,1,NULL,NULL,8,9,0.035,NULL,NULL,-700,-650
2748,Italo Geometric,NULL,NULL,NULL,NULL,NULL,1,1,0.003,3,3,-700,-650
2748,Italo Geometric,NULL,NULL,2,NULL,NULL,2,4,0.046,2,7,-700,-650
3263,Italo Geometric,NULL,NULL,2,NULL,NULL,2,4,0.014,2,4,-675,-650
321,Italo Geometric,NULL,NULL,1,NULL,NULL,8,9,0.035,NULL,NULL,-675,-650
3132,Italo Geometric,NULL,NULL,1,1,NULL,5,7,0.001,1,2,-700,-640
3314,Impasto Bruno,NULL,NULL,2,NULL,NULL,7,9,0.176,3,5,-700,-630
3256,Italo Geometric,NULL,NULL,1,NULL,NULL,1,2,0.016,5,7,-670,-630
26,Bucchero,NULL,NULL,30,11,7,72,120,NULL,NULL,NULL,-675,-625
3504,Bucchero,NULL,0,2,1,0,2,5,0.025,2,4,-675,-625
3610,Impasto Rosso,NULL,NULL,2,1,1,101,106,1.801,1,7,-1000,-600
36,Impasto,NULL,NULL,3,NULL,NULL,12,NULL,NULL,NULL,NULL,-900,-600
2001,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-900,-600
3535,Impasto,NULL,NULL,NULL,NULL,NULL,13,13,0.373,2,9,-900,-600
1036,Bucchero,NULL,NULL,4,NULL,NULL,3,7,NULL,NULL,NULL,-800,-600
2010,Bucchero,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-800,-600
3238,Impasto,NULL,NULL,8,8,1,73,89,1.39,2,8,-800,-600
3257,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,2,3,0.006,2,3,-800,-600
3814,Cooking Stand,NULL,NULL,1,NULL,NULL,NULL,1,0.131,6,6,-800,-600
1279,Italo Geometric,NULL,NULL,NULL,1,NULL,7,8,NULL,NULL,NULL,-750,-600
3318,Italo Geometric,NULL,NULL,NULL,NULL,1,1,2,0.016,2,3,-750,-600
3004,Impasto,NULL,NULL,153,43,11,1350,1557,NULL,NULL,NULL,-720,-600
101,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,-700,-600
108,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,-700,-600
119,Bucchero,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-700,-600
316,Bucchero,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,-700,-600
320,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,-700,-600
431,Italo Geometric,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,-700,-600
1036,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,-700,-600
1051,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,-700,-600
