SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
1143,Impasto,NULL,NULL,1,NULL,NULL,9,10,NULL,NULL,NULL,900,BC,500,BC
1146,Amphora,NULL,NULL,7,5,NULL,90,102,NULL,NULL,NULL,50,BC,100,AD
1146,Impasto,NULL,NULL,NULL,NULL,NULL,10,10,NULL,NULL,NULL,900,BC,500,BC
1146,Lamp,NULL,NULL,NULL,1,2,53,56,NULL,NULL,NULL,30,AD,70,AD
1146,Lamp,NULL,NULL,NULL,1,2,53,56,NULL,NULL,NULL,50,AD,90,AD
1146,Terra Sigillata,NULL,NULL,24,NULL,5,25,54,NULL,NULL,NULL,0,AD,20,AD
1146,Terra Sigillata,NULL,NULL,24,NULL,5,25,54,NULL,NULL,NULL,15,AD,125,AD
1147,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
1147,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
1147,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,610,BC,400,BC
1147,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,610,BC,400,BC
1149,Black Gloss,NULL,NULL,NULL,NULL,1,2,3,NULL,NULL,NULL,50,BC,180,AD
1149,Commonware,NULL,NULL,7,NULL,1,16,24,NULL,NULL,NULL,30,BC,150,AD
1149,Terra Sigillata,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,50,BC,180,AD
1156,Black Gloss,NULL,NULL,2,NULL,NULL,5,7,NULL,NULL,NULL,400,BC,50,BC
1156,Bucchero,NULL,NULL,1,NULL,NULL,3,4,NULL,NULL,NULL,675,BC,450,BC
1156,Impasto,NULL,NULL,2,NULL,NULL,5,7,NULL,NULL,NULL,900,BC,500,BC
1156,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,3,NULL,NULL,NULL,500,BC,400,BC
1156,Terra Sigillata,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,50,BC,180,AD
1156,Thin Walled,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,175,BC,200,AD
1157,Black Gloss,NULL,NULL,3,NULL,NULL,11,14,NULL,NULL,NULL,400,BC,50,BC
1157,Commonware,NULL,NULL,27,11,3,61,102,NULL,NULL,NULL,100,BC,150,AD
1157,Impasto,NULL,NULL,NULL,NULL,NULL,18,19,NULL,NULL,NULL,900,BC,500,BC
1157,Terra Sigillata,NULL,NULL,12,NULL,1,17,30,NULL,NULL,NULL,50,BC,180,AD
1157,Terra Sigillata,NULL,NULL,12,NULL,1,17,30,NULL,NULL,NULL,20,BC,75,AD
1157,Thin Walled,NULL,NULL,15,2,7,39,63,NULL,NULL,NULL,175,BC,200,AD
1158,Italo Megarian,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,425,BC,0,AD
1158,Italo Megarian,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,425,BC,0,AD
1158,Terra Sigillata,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,40,BC,180,AD
1158,Terra Sigillata,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,40,BC,180,AD
1158,Thin Walled,NULL,NULL,2,NULL,1,4,7,NULL,NULL,NULL,200,BC,300,AD
1158,Thin Walled,NULL,NULL,2,NULL,1,4,7,NULL,NULL,NULL,200,BC,300,AD
1160,Unidentified Ceramic,Opaque Red Ware,NULL,NULL,NULL,NULL,1,1,0.003,3,3,600,BC,400,BC
1162,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,50,BC
1162,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,180,BC,100,BC
1162,Commonware,NULL,NULL,3,NULL,2,4,9,NULL,NULL,NULL,325,BC,200,BC
1163,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,50,BC
1163,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,900,BC,500,BC
1164,Amphora,NULL,NULL,2,2,1,38,43,NULL,NULL,NULL,450,BC,300,BC
1164,Lamp,NULL,NULL,NULL,NULL,NULL,16,16,NULL,NULL,NULL,0,AD,70,AD
1164,Terra Sigillata,NULL,NULL,4,NULL,2,6,12,NULL,NULL,NULL,0,AD,100,AD
1164,Thin Walled,NULL,NULL,NULL,NULL,1,12,13,NULL,NULL,NULL,0,AD,100,AD
1165,Black Gloss,NULL,NULL,45,1,8,90,144,NULL,NULL,NULL,300,BC,200,BC
1165,Lamp,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,150,AD,250,AD
1166,Black Gloss,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,400,BC,50,BC
1166,Commonware,NULL,NULL,3,NULL,NULL,4,7,NULL,NULL,NULL,400,BC,30,BC
1166,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC
1167,Black Gloss,NULL,NULL,NULL,1,NULL,3,4,NULL,NULL,NULL,400,BC,50,BC
1167,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,600,BC,500,BC
1167,Impasto,NULL,NULL,3,NULL,1,31,35,NULL,NULL,NULL,900,BC,500,BC
1167,Impasto Chiaro Sabbioso,NULL,NULL,1,1,NULL,3,5,NULL,NULL,NULL,500,BC,400,BC
1168,Commonware,NULL,NULL,34,NULL,10,87,131,NULL,NULL,NULL,100,BC,70,AD
1168,Impasto,NULL,NULL,3,NULL,NULL,10,13,NULL,NULL,NULL,900,BC,500,BC
1168,Roman Red Slip,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,75,AD,200,AD
1168,Thin Walled,NULL,NULL,5,NULL,4,18,27,NULL,NULL,NULL,40,AD,70,AD
1168,Thin Walled,NULL,NULL,5,NULL,4,18,27,NULL,NULL,NULL,14,AD,60,AD
1169,Impasto,NULL,NULL,1,1,NULL,11,13,NULL,NULL,NULL,900,BC,500,BC
1169,Internal Red Slip Ware,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,200,BC,300,AD
1169,Roman Red Slip,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,75,AD,200,AD
1169,Thin Walled,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,175,BC,200,AD
1173,Black Gloss,NULL,NULL,10,1,5,16,32,NULL,NULL,NULL,330,BC,270,BC
1173,Black Gloss,NULL,NULL,10,1,5,16,32,NULL,NULL,NULL,300,BC,200,BC
1173,Bucchero,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,675,BC,450,BC
1173,Impasto,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,900,BC,500,BC
1174,Black Gloss,NULL,NULL,4,1,1,12,18,NULL,NULL,NULL,100,BC,50,BC
1174,Genucilia Plate,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,400,BC,300,BC
1174,Impasto,NULL,NULL,NULL,NULL,NULL,28,28,NULL,NULL,NULL,900,BC,500,BC
1174,Italo Megarian,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,300,BC,100,BC
1176,Black Gloss,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,400,BC,50,BC
1176,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,600,BC,500,BC
1176,Impasto,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,900,BC,500,BC
1176,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,500,BC,400,BC
1177,Black Gloss,NULL,NULL,10,NULL,1,18,29,NULL,NULL,NULL,400,BC,50,BC
1177,Impasto,NULL,NULL,4,1,NULL,40,45,NULL,NULL,NULL,900,BC,500,BC
1177,Lamp,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,0,AD,125,AD
1177,Terra Sigillata,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,40,BC,80,AD
1180,Impasto,NULL,NULL,2,2,4,17,25,NULL,NULL,NULL,900,BC,400,BC
1180,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,1,1,2,NULL,NULL,NULL,610,BC,300,BC
1180,Impasto Rosso,NULL,NULL,1,1,NULL,9,11,NULL,NULL,NULL,730,BC,500,BC
1181,Black Gloss,NULL,NULL,6,NULL,NULL,NULL,6,NULL,NULL,NULL,300,BC,200,BC
1181,Black Gloss,NULL,NULL,6,NULL,NULL,NULL,6,NULL,NULL,NULL,200,BC,0,AD
1181,Internal Red Slip Ware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,200,BC
1182,Bucchero,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,675,BC,450,BC
1182,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,800,BC,500,BC
1182,Thin Walled,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,175,BC,200,AD
1189,Black Gloss,NULL,NULL,NULL,1,NULL,3,4,NULL,NULL,NULL,400,BC,50,BC
1189,Impasto,NULL,NULL,1,NULL,NULL,10,11,NULL,NULL,NULL,900,BC,500,BC
1190,Black Gloss,NULL,NULL,2,1,NULL,3,6,NULL,NULL,NULL,400,BC,50,BC
1190,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,450,BC
1190,Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,900,BC,500,BC
1190,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,500,BC,400,BC
1190,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,6,6,NULL,NULL,NULL,800,BC,500,BC
1194,Black Gloss,NULL,NULL,2,NULL,NULL,3,5,0.024,2,3,400,BC,50,BC
1194,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.032,NULL,NULL,900,BC,500,BC
1194,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,0.008,NULL,3,500,BC,400,BC
1194,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.008,NULL,3,800,BC,500,BC
1194,Italo Megarian,NULL,NULL,NULL,NULL,NULL,2,2,0.012,NULL,4,300,BC,100,BC
1194,Italo Megarian,NULL,NULL,NULL,NULL,NULL,2,2,0.012,NULL,4,150,BC,75,BC
1194,Italo Megarian,NULL,NULL,NULL,NULL,NULL,2,2,0.012,NULL,4,150,BC,75,BC
1194,Terra Sigillata,NULL,NULL,NULL,NULL,NULL,2,2,0.002,2,3,50,BC,180,AD
1194,Thin Walled,NULL,NULL,NULL,NULL,NULL,1,1,0.002,NULL,3,175,BC,200,AD
1196,Commonware,NULL,NULL,1,NULL,1,1,3,0.032,NULL,3,700,BC,900,AD
1199,Black Gloss,NULL,NULL,7,NULL,4,13,23,NULL,NULL,NULL,400,BC,50,BC
1199,Bucchero,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,675,BC,450,BC
1199,Impasto,NULL,NULL,1,1,NULL,15,17,NULL,NULL,NULL,900,BC,500,BC
1202,Amphora,NULL,NULL,2,2,NULL,40,44,NULL,NULL,NULL,50,BC,50,AD
1202,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,150,BC,0,AD
1202,Commonware,NULL,NULL,36,26,4,141,207,NULL,NULL,NULL,175,BC,200,AD
1202,Internal Red Slip Ware,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,200,BC,300,AD
1202,Thin Walled,NULL,NULL,10,NULL,1,41,52,NULL,NULL,NULL,50,BC,50,AD
1203,Black Gloss,NULL,NULL,4,NULL,NULL,3,7,NULL,NULL,NULL,400,BC,50,BC
1203,Bucchero,NULL,NULL,1,2,NULL,NULL,3,NULL,NULL,NULL,675,BC,450,BC
1203,Commonware,NULL,NULL,11,NULL,1,23,35,NULL,NULL,NULL,200,BC,20,AD
1203,Impasto,NULL,NULL,NULL,NULL,NULL,20,20,NULL,NULL,NULL,900,BC,500,BC
1203,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,16,16,NULL,NULL,NULL,500,BC,400,BC
1203,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC
1204,Impasto,NULL,NULL,1,1,NULL,14,16,NULL,NULL,NULL,900,BC,500,BC
1204,Impasto Rosso,NULL,NULL,3,NULL,2,10,15,NULL,NULL,NULL,730,BC,500,BC
1205,Amphora,NULL,NULL,2,NULL,NULL,8,10,NULL,NULL,NULL,0,AD,40,AD
1205,Impasto,NULL,NULL,5,2,3,28,38,NULL,NULL,NULL,800,BC,500,BC
1207,Black Gloss,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,400,BC,50,BC
1207,Bucchero,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,675,BC,450,BC
1207,Impasto,NULL,NULL,3,NULL,NULL,11,14,NULL,NULL,NULL,900,BC,500,BC
1207,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,500,BC,400,BC
1208,Black Gloss,NULL,NULL,3,NULL,NULL,9,12,NULL,NULL,NULL,305,BC,265,BC
1208,Commonware,NULL,NULL,16,NULL,NULL,61,77,NULL,NULL,NULL,0,AD,0,AD
1208,Impasto,NULL,NULL,2,NULL,NULL,4,6,NULL,NULL,NULL,900,BC,500,BC
1208,Italo Megarian,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,300,BC,100,BC
1210,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
1210,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,450,BC
1210,Terra Sigillata,NULL,NULL,1,NULL,NULL,8,9,NULL,NULL,NULL,50,BC,180,AD
1210,Thin Walled,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,175,BC,200,AD
1211,Black Gloss,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,200,BC,150,BC
1211,Impasto,NULL,NULL,1,NULL,NULL,5,6,NULL,NULL,NULL,900,BC,500,BC
1213,Black Gloss,NULL,NULL,3,NULL,NULL,3,6,NULL,NULL,NULL,400,BC,50,BC
1213,Impasto,NULL,NULL,NULL,1,NULL,2,3,NULL,NULL,NULL,900,BC,500,BC
1213,Terra Sigillata,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,50,BC,180,AD
1214,Black Gloss,NULL,NULL,2,NULL,2,11,15,NULL,NULL,NULL,400,BC,50,BC
1214,Black Gloss,NULL,NULL,2,NULL,2,11,15,NULL,NULL,NULL,200,BC,100,BC
1214,Commonware,NULL,NULL,8,NULL,2,20,30,NULL,NULL,NULL,100,BC,30,BC
1214,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,0,AD,0,AD
1214,Painted Fineware,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,700,BC,400,BC
1218,Black Gloss,NULL,NULL,28,NULL,4,26,58,NULL,NULL,NULL,400,BC,50,BC
1218,Bucchero,NULL,NULL,2,NULL,NULL,2,4,NULL,NULL,NULL,675,BC,450,BC
1218,Commonware,NULL,NULL,80,NULL,6,146,232,NULL,NULL,NULL,0,AD,100,AD
1218,Etrusco-corinthian,NULL,NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,630,BC,540,BC
1218,Impasto,NULL,NULL,8,NULL,6,24,38,NULL,NULL,NULL,900,BC,500,BC
1218,Impasto,NULL,NULL,8,NULL,6,24,38,NULL,NULL,NULL,800,BC,500,BC
1218,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,14,14,NULL,NULL,NULL,500,BC,400,BC
1218,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,14,14,NULL,NULL,NULL,800,BC,500,BC
1218,Internal Red Slip Ware,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,400,BC,200,BC
1218,Thin Walled,NULL,NULL,2,NULL,2,2,6,NULL,NULL,NULL,175,BC,200,AD
1218,Thin Walled,NULL,NULL,2,NULL,2,2,6,NULL,NULL,NULL,100,BC,75,BC
1219,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
1219,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,900,BC,500,BC
1221,Black Gloss,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,400,BC,50,BC
1221,Terra Sigillata,NULL,NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,50,BC,180,AD
1222,Amphora,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,50,BC,800,AD
1222,Black Gloss,NULL,NULL,1,1,NULL,2,4,NULL,NULL,NULL,400,BC,250,BC
1222,Black Gloss,NULL,NULL,1,1,NULL,2,4,NULL,NULL,NULL,300,BC,200,BC
1222,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,3,4,NULL,NULL,NULL,200,BC,100,BC
1222,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,3,4,NULL,NULL,NULL,500,BC,100,BC
1232,Commonware,NULL,NULL,16,3,7,53,89,NULL,NULL,NULL,0,AD,200,AD
1232,Impasto,NULL,NULL,NULL,1,NULL,4,5,NULL,NULL,NULL,900,BC,500,BC
1232,Terra Sigillata,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,50,BC,180,AD
1233,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,450,BC
1233,Impasto,NULL,NULL,NULL,NULL,NULL,7,7,NULL,NULL,NULL,900,BC,500,BC
1242,Black Gloss,NULL,NULL,5,NULL,2,12,19,NULL,NULL,NULL,400,BC,50,BC
1242,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,450,BC
1242,Lamp,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,160,BC,150,BC
1248,Buccheroid Impasto,NULL,NULL,2,1,1,3,7,NULL,NULL,NULL,450,BC,400,BC
1248,Buccheroid Impasto,NULL,NULL,2,1,1,3,7,NULL,NULL,NULL,675,BC,450,BC
1248,Impasto,NULL,NULL,3,NULL,NULL,34,37,NULL,NULL,NULL,900,BC,500,BC
1248,Impasto Rosso,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,800,BC,500,BC
1260,Black Gloss,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,400,BC,50,BC
1260,Bucchero,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,675,BC,450,BC
1260,Impasto,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,900,BC,500,BC
1270,Impasto,NULL,NULL,4,NULL,1,24,29,NULL,NULL,NULL,900,BC,500,BC
1273,Black Gloss,NULL,NULL,7,NULL,NULL,13,23,NULL,NULL,NULL,400,BC,50,BC
1273,Impasto,NULL,NULL,4,1,NULL,13,18,NULL,NULL,NULL,900,BC,500,BC
1273,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,500,BC,400,BC
1273,Terra Sigillata,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,50,BC,180,AD
1275,Black Gloss,NULL,NULL,1,1,NULL,2,4,NULL,NULL,NULL,400,BC,50,BC
1275,Impasto,NULL,NULL,2,1,NULL,7,10,NULL,NULL,NULL,900,BC,500,BC
1275,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,500,BC,400,BC
1277,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,50,BC
1277,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,450,BC
1277,Commonware,NULL,NULL,5,NULL,NULL,6,11,NULL,NULL,NULL,300,BC,1,AD
1277,Impasto,NULL,NULL,3,2,1,55,61,NULL,NULL,NULL,900,BC,500,BC
1277,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,500,BC,400,BC
1277,Thin Walled,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,175,BC,200,AD
1279,Amphora,NULL,NULL,2,3,NULL,57,62,NULL,NULL,NULL,400,BC,130,BC
1279,Black Gloss,NULL,6,NULL,5,13,76,100,NULL,NULL,NULL,300,BC,200,BC
1279,Black Gloss,NULL,6,NULL,5,13,76,100,NULL,NULL,NULL,150,BC,100,BC
1279,Black Gloss,NULL,6,NULL,5,13,76,100,NULL,NULL,NULL,350,BC,275,BC
1279,Black Gloss,NULL,6,NULL,5,13,76,100,NULL,NULL,NULL,250,BC,190,BC
1279,Bucchero,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,675,BC,450,BC
1279,Genucilia Plate,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,300,BC
1279,Impasto,NULL,NULL,4,1,NULL,24,29,NULL,NULL,NULL,900,BC,500,BC
1279,Impasto Chiaro Sabbioso,NULL,1,5,2,3,12,23,NULL,NULL,NULL,400,BC,100,BC
1279,Italo Geometric,NULL,NULL,NULL,1,NULL,7,8,NULL,NULL,NULL,750,BC,600,BC
1279,Thin Walled,NULL,NULL,4,NULL,NULL,6,10,NULL,NULL,NULL,175,BC,200,AD
1280,African Cookware,NULL,NULL,2,NULL,NULL,2,4,NULL,NULL,NULL,40,AD,150,AD
1280,Black Gloss,NULL,NULL,4,NULL,1,6,11,NULL,NULL,NULL,400,BC,50,BC
1280,Bucchero,NULL,NULL,1,NULL,1,1,3,NULL,NULL,NULL,675,BC,450,BC
1280,Impasto,NULL,NULL,2,1,NULL,12,15,NULL,NULL,NULL,900,BC,500,BC
1280,Terra Sigillata,NULL,NULL,2,NULL,NULL,2,4,NULL,NULL,NULL,10,BC,125,BC
1282,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
1282,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,450,BC
1282,Impasto,NULL,NULL,1,NULL,NULL,7,8,NULL,NULL,NULL,900,BC,500,BC
1285,Impasto,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,900,BC,500,BC
1289,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,900,BC,500,BC
1300,Black Gloss,NULL,NULL,NULL,1,NULL,7,8,NULL,NULL,NULL,400,BC,50,BC
1300,Bucchero,NULL,NULL,3,1,NULL,2,6,NULL,NULL,NULL,675,BC,450,BC
1300,Impasto,NULL,NULL,3,NULL,1,40,44,NULL,NULL,NULL,900,BC,500,BC
1300,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,11,11,NULL,NULL,NULL,800,BC,500,BC
1303,Impasto,NULL,NULL,1,NULL,NULL,6,7,NULL,NULL,NULL,900,BC,500,BC
1304,Black Gloss,NULL,NULL,2,NULL,NULL,1,3,NULL,NULL,NULL,400,BC,50,BC
1304,Bucchero,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,675,BC,450,BC
1304,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,600,BC,500,BC
1304,Impasto Chiaro Sabbioso,NULL,NULL,1,1,NULL,1,3,NULL,NULL,NULL,500,BC,400,BC
1306,Black Gloss,NULL,NULL,9,NULL,2,12,23,0.202,1,9,400,BC,50,BC
1306,Black Gloss,NULL,NULL,9,NULL,2,12,23,0.202,1,9,200,BC,150,BC
1306,Bucchero,NULL,NULL,1,NULL,NULL,1,2,0.008,NULL,4,675,BC,450,BC
1306,Commonware,NULL,NULL,16,2,4,54,76,1.14,1,10,1,AD,125,AD
1306,Impasto,NULL,NULL,3,2,1,15,21,0.466,3,7,900,BC,500,BC
1306,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,3,3,0.016,NULL,4,500,BC,400,BC
1306,Impasto Rosso,NULL,NULL,1,NULL,NULL,1,2,0.084,3,5,800,BC,500,BC
1306,Terra Sigillata,NULL,NULL,NULL,NULL,2,4,6,0.034,3,6,50,BC,180,AD
1306,Thin Walled,NULL,NULL,NULL,NULL,NULL,6,6,0.012,2,4,175,BC,200,AD
1316,Commonware,NULL,NULL,NULL,NULL,NULL,2,2,0.12,2,4,700,BC,900,AD
1316,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.01,NULL,3,900,BC,500,BC
1317,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.072,2,5,900,BC,500,BC
1317,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,0.012,NULL,3,500,BC,400,BC
1317,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.018,NULL,4,800,BC,500,BC
1318,Commonware,NULL,NULL,NULL,NULL,NULL,1,1,0.008,NULL,2,700,BC,900,AD
1318,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.012,NULL,4,900,BC,500,BC
1320,Black Gloss,NULL,NULL,17,NULL,6,60,83,0.42,1,6,400,BC,50,BC
1320,Black Gloss,NULL,NULL,17,NULL,6,60,83,0.42,1,6,300,BC,200,BC
1320,Black Gloss,NULL,NULL,17,NULL,6,60,83,0.42,1,6,305,BC,265,BC
1320,Bucchero,NULL,NULL,6,1,2,12,21,0.1,2,5,675,BC,450,BC
1320,Impasto,NULL,NULL,3,NULL,1,15,19,0.174,2,4,900,BC,500,BC
1320,Impasto Chiaro Sabbioso,NULL,NULL,2,1,1,39,43,0.572,2,6,500,BC,400,BC
1320,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,0.038,3,4,800,BC,500,BC
1320,Terra Sigillata,NULL,NULL,1,NULL,NULL,NULL,1,0.001,NULL,1,50,BC,180,AD
1320,Thin Walled,NULL,NULL,NULL,NULL,NULL,8,8,0.006,1,3,175,BC,200,AD
1321,Black Gloss,NULL,NULL,NULL,NULL,NULL,2,2,0.001,NULL,3,400,BC,50,BC
1321,Commonware,NULL,NULL,NULL,NULL,NULL,5,5,0.068,2,7,700,BC,900,AD
1321,Impasto,NULL,NULL,1,NULL,NULL,6,7,0.7,3,5,900,BC,500,BC
1325,Black Gloss,NULL,NULL,NULL,NULL,NULL,3,3,0.004,NULL,2,400,BC,50,BC
1325,Impasto,NULL,NULL,1,NULL,NULL,NULL,1,0.008,NULL,3,900,BC,500,BC
1325,Thin Walled,NULL,NULL,NULL,NULL,NULL,1,1,0.004,NULL,4,175,BC,200,AD
1330,Impasto,NULL,NULL,2,2,NULL,8,12,0.138,2,4,900,BC,500,BC
1330,Impasto,NULL,NULL,2,2,NULL,8,12,0.138,2,4,730,BC,580,BC
1331,Black Gloss,NULL,NULL,1,NULL,NULL,1,2,0.014,2,5,400,BC,50,BC
1331,Terra Sigillata,NULL,NULL,NULL,NULL,NULL,1,1,0.002,3,3,50,BC,180,AD
