SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
373,Impasto,NULL,NULL,5,1,1,50,57,NULL,NULL,NULL,900,BC,500,BC
374,Amphora,NULL,NULL,3,NULL,NULL,12,15,0.734,3,10,300,BC,50,BC
374,Amphora,NULL,NULL,3,NULL,NULL,12,15,0.734,3,10,150,BC,1,AD
374,Black Gloss,one base with reserved red on the interior,NULL,5,1,0,10,16,0.134,1.5,7,300,BC,100,BC
374,Black Gloss,one base with reserved red on the interior,NULL,5,1,0,10,16,0.134,1.5,7,200,BC,40,BC
374,Impasto,NULL,NULL,1,NULL,NULL,8,9,0.107,2,4,730,BC,500,BC
374,Lamp,NULL,NULL,NULL,NULL,NULL,1,1,0.013,4,4,100,BC,1,AD
375,Amphora,NULL,NULL,1,2,NULL,40,43,3.02,2,11,225,BC,150,BC
375,Black Gloss,NULL,NULL,9,1,2,24,36,0.216,2,5,25,BC,25,AD
375,Black Gloss,NULL,NULL,9,1,2,24,36,0.216,2,5,305,BC,265,BC
375,Impasto,NULL,NULL,9,NULL,NULL,22,31,0.689,4,7,900,BC,500,BC
375,Impasto Chiaro Sabbioso,NULL,NULL,2,NULL,2,18,22,0.712,4,9,550,BC,500,BC
375,Thin Walled,NULL,NULL,2,NULL,NULL,9,11,0.029,4,3,175,BC,100,AD
376,Black Gloss,NULL,NULL,NULL,NULL,NULL,2,2,0.004,1,1,400,BC,50,BC
376,Impasto,NULL,NULL,2,NULL,NULL,22,24,0.178,1,3,900,BC,500,BC
377,Black Gloss,NULL,NULL,3,1,1,11,16,NULL,NULL,NULL,300,BC,250,BC
377,Impasto,NULL,NULL,8,NULL,NULL,16,24,NULL,NULL,NULL,900,BC,500,BC
379,Black Gloss,NULL,NULL,1,NULL,1,NULL,2,NULL,NULL,NULL,300,BC,225,BC
379,Impasto,NULL,NULL,4,NULL,1,2,7,NULL,NULL,NULL,900,BC,500,BC
379,Internal Red Slip Ware,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,200,BC
380,Black Gloss,NULL,NULL,7,NULL,2,12,21,NULL,NULL,NULL,400,BC,50,BC
380,Impasto,NULL,NULL,2,2,NULL,14,18,NULL,NULL,NULL,900,BC,500,BC
380,Thin Walled,NULL,NULL,NULL,1,NULL,16,17,NULL,NULL,NULL,200,BC,300,AD
383,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.012,2,2,900,BC,500,BC
383,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,0.019,2,3,700,BC,500,BC
385,Black Gloss,NULL,NULL,11,NULL,2,28,41,NULL,NULL,NULL,260,BC,240,BC
385,Black Gloss,NULL,NULL,11,NULL,2,28,41,NULL,NULL,NULL,300,BC,250,BC
385,Impasto,NULL,NULL,8,2,1,85,96,NULL,NULL,NULL,900,BC,500,BC
385,Thin Walled,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,200,BC,300,AD
389,Black Gloss,NULL,NULL,17,2,1,60,80,NULL,NULL,NULL,150,BC,110,BC
389,Bucchero,NULL,NULL,6,NULL,NULL,13,19,NULL,NULL,NULL,675,BC,450,BC
389,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,600,BC,500,BC
389,Commonware,NULL,NULL,24,NULL,2,78,104,NULL,NULL,NULL,100,BC,50,AD
389,Genucilia Plate,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,300,BC
389,Impasto,NULL,NULL,89,7,13,549,658,NULL,NULL,NULL,900,BC,500,BC
